"","File.Name","Sample","Date","Subject","PlateWell","PlateRow","PlateColumn","Position","FileIndex","HeartLocation","runCol","MedianIntensity","TotalIds"
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A13_BA14_1_7445.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A13_BA14_1_7445.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A13_BA14_1_7445.d",2022-10-19,"Subject3","A13","A","13","BA14","7445","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A13_BA14_1_7445.d",14.0344679738378,6082
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A14_BA15_1_7446.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A14_BA15_1_7446.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A14_BA15_1_7446.d",2022-10-19,"Subject3","A14","A","14","BA15","7446","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A14_BA15_1_7446.d",13.8623903508992,3958
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A15_BA16_1_7447.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A15_BA16_1_7447.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A15_BA16_1_7447.d",2022-10-19,"Subject3","A15","A","15","BA16","7447","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A15_BA16_1_7447.d",13.8484762381117,5729
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A16_BA17_1_7448.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A16_BA17_1_7448.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A16_BA17_1_7448.d",2022-10-19,"Subject3","A16","A","16","BA17","7448","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A16_BA17_1_7448.d",14.2071973916886,6191
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A17_BA18_1_7449.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A17_BA18_1_7449.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A17_BA18_1_7449.d",2022-10-19,"Subject3","A17","A","17","BA18","7449","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A17_BA18_1_7449.d",14.2811548771382,9701
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A18_BA19_1_7450.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A18_BA19_1_7450.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A18_BA19_1_7450.d",2022-10-19,"Subject3","A18","A","18","BA19","7450","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A18_BA19_1_7450.d",14.676819313028,5942
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B13_BB15_1_7465.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B13_BB15_1_7465.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B13_BB15_1_7465.d",2022-10-19,"Subject3","B13","B","13","BB15","7465","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B13_BB15_1_7465.d",13.8879345499835,4555
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B15_BB17_1_7466.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B15_BB17_1_7466.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B15_BB17_1_7466.d",2022-10-19,"Subject3","B15","B","15","BB17","7466","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B15_BB17_1_7466.d",14.3679197699279,10806
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B17_BB18_1_7467.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B17_BB18_1_7467.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B17_BB18_1_7467.d",2022-10-19,"Subject3","B17","B","17","BB18","7467","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B17_BB18_1_7467.d",13.2281811241725,4108
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B18_BB20_1_7468.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B18_BB20_1_7468.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B18_BB20_1_7468.d",2022-10-19,"Subject3","B18","B","18","BB20","7468","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B18_BB20_1_7468.d",13.8760852245499,4319
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_C17_BC19_1_7487.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_C17_BC19_1_7487.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_C17_BC19_1_7487.d",2022-10-19,"Subject3","C17","C","17","BC19","7487","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_C17_BC19_1_7487.d",13.9486317844722,6659
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D13_BD14_1_7500.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D13_BD14_1_7500.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_D13_BD14_1_7500.d",2022-10-19,"Subject3","D13","D","13","BD14","7500","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D13_BD14_1_7500.d",14.2473229940095,2712
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D15_BD16_1_7502.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D15_BD16_1_7502.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_D15_BD16_1_7502.d",2022-10-19,"Subject3","D15","D","15","BD16","7502","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D15_BD16_1_7502.d",14.1711062968589,6534
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D16_BD17_1_7503.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D16_BD17_1_7503.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_D16_BD17_1_7503.d",2022-10-19,"Subject3","D16","D","16","BD17","7503","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D16_BD17_1_7503.d",13.2050004258374,3976
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D17_BD18_1_7504.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D17_BD18_1_7504.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_D17_BD18_1_7504.d",2022-10-19,"Subject3","D17","D","17","BD18","7504","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D17_BD18_1_7504.d",13.6629242287232,3971
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D18_RB6_1_7505.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D18_RB6_1_7505.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_D18_RB6_1_7505.d",2022-10-19,"Subject3","D18","D","18","RB6","7505","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_D18_RB6_1_7505.d",13.612695750474,4623
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_E14_BE2_1_7522.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_E14_BE2_1_7522.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_E14_BE2_1_7522.d",2022-10-19,"Subject3","E14","E","14","BE2","7522","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_E14_BE2_1_7522.d",13.7468606775245,4581
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F13_BF14_1_7533.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F13_BF14_1_7533.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_F13_BF14_1_7533.d",2022-10-19,"Subject3","F13","F","13","BF14","7533","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F13_BF14_1_7533.d",14.1140798503095,10803
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F14_BF15_1_7534.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F14_BF15_1_7534.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_F14_BF15_1_7534.d",2022-10-19,"Subject3","F14","F","14","BF15","7534","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F14_BF15_1_7534.d",14.3950052104317,10370
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F15_BF17_1_7535.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F15_BF17_1_7535.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_F15_BF17_1_7535.d",2022-10-19,"Subject3","F15","F","15","BF17","7535","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F15_BF17_1_7535.d",13.3655296072375,4188
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F17_RB8_1_7536.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F17_RB8_1_7536.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_F17_RB8_1_7536.d",2022-10-19,"Subject3","F17","F","17","RB8","7536","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_F17_RB8_1_7536.d",13.8404140573988,4161
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G13_BG14_1_7563.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G13_BG14_1_7563.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_G13_BG14_1_7563.d",2022-10-19,"Subject3","G13","G","13","BG14","7563","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G13_BG14_1_7563.d",12.9703467991304,2037
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G14_BG15_1_7564.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G14_BG15_1_7564.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_G14_BG15_1_7564.d",2022-10-19,"Subject3","G14","G","14","BG15","7564","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G14_BG15_1_7564.d",13.3628068303842,3387
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G15_BG16_1_7565.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G15_BG16_1_7565.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_G15_BG16_1_7565.d",2022-10-19,"Subject3","G15","G","15","BG16","7565","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G15_BG16_1_7565.d",13.8647519409115,4654
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G16_BG17_1_7566.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G16_BG17_1_7566.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_G16_BG17_1_7566.d",2022-10-19,"Subject3","G16","G","16","BG17","7566","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G16_BG17_1_7566.d",13.7651306721844,1649
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G17_BG18_1_7567.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G17_BG18_1_7567.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_G17_BG18_1_7567.d",2022-10-19,"Subject3","G17","G","17","BG18","7567","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G17_BG18_1_7567.d",13.8182126692257,4785
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G18_BG19_1_7568.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G18_BG19_1_7568.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_G18_BG19_1_7568.d",2022-10-19,"Subject3","G18","G","18","BG19","7568","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_G18_BG19_1_7568.d",13.5828356743408,4204
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H13_BH14_1_7578.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H13_BH14_1_7578.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_H13_BH14_1_7578.d",2022-10-19,"Subject3","H13","H","13","BH14","7578","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H13_BH14_1_7578.d",13.2009338367967,3022
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H14_BH15_1_7579.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H14_BH15_1_7579.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_H14_BH15_1_7579.d",2022-10-19,"Subject3","H14","H","14","BH15","7579","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H14_BH15_1_7579.d",13.6311598666873,4016
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H15_RB10_1_7580.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H15_RB10_1_7580.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_H15_RB10_1_7580.d",2022-10-19,"Subject3","H15","H","15","RB10","7580","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H15_RB10_1_7580.d",13.9877966823824,4624
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H16_BH18_1_7583.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H16_BH18_1_7583.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_H16_BH18_1_7583.d",2022-10-19,"Subject3","H16","H","16","BH18","7583","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H16_BH18_1_7583.d",13.8621142664167,4125
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H18_BH2_1_7584.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H18_BH2_1_7584.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_H18_BH2_1_7584.d",2022-10-19,"Subject3","H18","H","18","BH2","7584","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_H18_BH2_1_7584.d",13.6031915488566,4752
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I14_BI17_1_7596.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I14_BI17_1_7596.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_I14_BI17_1_7596.d",2022-10-19,"Subject3","I14","I","14","BI17","7596","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I14_BI17_1_7596.d",13.7415617625214,9172
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I17_BI18_1_7597.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I17_BI18_1_7597.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_I17_BI18_1_7597.d",2022-10-19,"Subject3","I17","I","17","BI18","7597","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I17_BI18_1_7597.d",14.5117958845635,5163
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I18_BI22_1_7598.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I18_BI22_1_7598.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_I18_BI22_1_7598.d",2022-10-19,"Subject3","I18","I","18","BI22","7598","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_I18_BI22_1_7598.d",12.7915902602914,1597
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A19_BA20_1_7451.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A19_BA20_1_7451.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_A19_BA20_1_7451.d",2022-10-19,"Subject3","A19","A","19","BA20","7451","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A19_BA20_1_7451.d",12.372628295921,3520
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A20_BA21_1_7452.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A20_BA21_1_7452.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_A20_BA21_1_7452.d",2022-10-19,"Subject3","A20","A","20","BA21","7452","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A20_BA21_1_7452.d",12.8838163692945,2248
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A21_BA22_1_7453.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A21_BA22_1_7453.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_A21_BA22_1_7453.d",2022-10-19,"Subject3","A21","A","21","BA22","7453","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A21_BA22_1_7453.d",14.2369708862593,6249
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A22_BA23_1_7454.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A22_BA23_1_7454.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_A22_BA23_1_7454.d",2022-10-19,"Subject3","A22","A","22","BA23","7454","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A22_BA23_1_7454.d",14.237105370538,5973
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A23_BA24_1_7455.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A23_BA24_1_7455.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_A23_BA24_1_7455.d",2022-10-19,"Subject3","A23","A","23","BA24","7455","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A23_BA24_1_7455.d",12.7865432726114,2039
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A24_BA3_1_7456.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A24_BA3_1_7456.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_A24_BA3_1_7456.d",2022-10-19,"Subject3","A24","A","24","BA3","7456","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_A24_BA3_1_7456.d",14.3665749369791,6341
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B20_RB4_1_7469.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B20_RB4_1_7469.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_B20_RB4_1_7469.d",2022-10-19,"Subject3","B20","B","20","RB4","7469","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B20_RB4_1_7469.d",14.6871703998842,6528
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B22_BB23_1_7476.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B22_BB23_1_7476.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_B22_BB23_1_7476.d",2022-10-19,"Subject3","B22","B","22","BB23","7476","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B22_BB23_1_7476.d",13.8413578552522,5864
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B23_BB24_1_7477.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B23_BB24_1_7477.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_B23_BB24_1_7477.d",2022-10-19,"Subject3","B23","B","23","BB24","7477","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B23_BB24_1_7477.d",13.8866015863135,6543
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B24_BB3_1_7478.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B24_BB3_1_7478.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_B24_BB3_1_7478.d",2022-10-19,"Subject3","B24","B","24","BB3","7478","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_B24_BB3_1_7478.d",14.4749130177161,10752
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_C19_BC2_1_7488.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_C19_BC2_1_7488.d","221019_CM_SUBJECT-03_CMs_Subject3_LVepi_C19_BC2_1_7488.d",2022-10-19,"Subject3","C19","C","19","BC2","7488","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_LVepi_C19_BC2_1_7488.d",14.5577448896337,6313
